question_id,category,question,expected_answer_or_key_fact,expected_source_document,expected_policy_id,expected_supported,notes
Q01,single_doc_semantic,Can an employee work from home while on probation?,Probationary employees may work remotely only upon receiving explicit written manager approval and HR endorsement under HR-RW-017.,Remote Work Policy.docx,HR-RW-017,True,Paraphrased query testing probationary remote work rule.
Q02,single_doc_semantic,What is the maximum number of PTO days that can be carried over into the next year?,A maximum of 5 accrued unused PTO days may be carried over into the following calendar year.,Annual Leave & PTO Policy.docx,HR-LV-004,True,Query regarding PTO carry-over limits.
Q03,single_doc_semantic,What itemized receipts are required for business expense reimbursement?,Itemized receipts are strictly required for all reimbursable expenses exceeding $25.,Expense Reimbursement Policy.docx,FIN-EXP-011,True,Query regarding receipt requirement threshold.
Q04,single_doc_semantic,What length and complexity is required for employee account passwords?,"Passwords must be at least 16 characters long incorporating uppercase, lowercase, numbers, and special symbols.",Information Security Policy.docx,SEC-IS-002,True,Query regarding password security policy.
Q05,single_doc_semantic,What are the mandatory core collaboration hours when employees must be reachable?,Core collaboration hours are from 10:00 AM to 3:00 PM local time.,Attendance & Flexible Work Hours Policy.docx,HR-AT-009,True,Query regarding core work hours.
Q06,single_doc_semantic,What percentage of monthly health insurance premiums does the company pay?,The company pays 85% of monthly healthcare insurance premiums for full-time employees.,Employee Benefits & Wellness Policy.docx,HR-BEN-006,True,Query regarding health insurance contribution.
Q07,single_doc_semantic,What internet speed is required for telecommuting employees?,Employees must maintain high-speed internet with a minimum 50 Mbps download speed.,Remote Work Policy.docx,HR-RW-017,True,Query regarding remote workspace requirements.
Q08,single_doc_semantic,How many paid sick days do full-time employees receive annually?,Full-time employees receive 10 paid sick days per year.,Annual Leave & PTO Policy.docx,HR-LV-004,True,Query regarding sick leave entitlement.
Q09,single_doc_semantic,Within how many days must an expense reimbursement claim be submitted?,All reimbursement claims must be submitted within 30 calendar days of incurring the expense.,Expense Reimbursement Policy.docx,FIN-EXP-011,True,Query regarding expense submission timeframe.
Q10,single_doc_semantic,What is the dollar limit for the annual employee wellness stipend?,Full-time employees receive a $500 annual wellness stipend.,Employee Benefits & Wellness Policy.docx,HR-BEN-006,True,Query regarding wellness stipend amount.
Q11,exact_identifier,What does policy HR-RW-017 state about remote work?,"HR-RW-017 governs telecommuting, hybrid workplace arrangements, equipment standards, and probationary employee eligibility.",Remote Work Policy.docx,HR-RW-017,True,Exact policy ID match query.
Q12,exact_identifier,What are the MFA authentication rules in SEC-IS-002?,"Multi-Factor Authentication (MFA) is strictly mandatory for all employees accessing corporate systems, email, VPN, and cloud repositories.",Information Security Policy.docx,SEC-IS-002,True,Exact policy ID and security term query.
Q13,exact_identifier,What are the non-reimbursable expense rules under FIN-EXP-011?,"Personal entertainment, parking fines, traffic violations, personal grooming, and unauthorized software subscriptions are non-reimbursable.",Expense Reimbursement Policy.docx,FIN-EXP-011,True,Exact policy ID query for expense exceptions.
Q14,exact_identifier,What is the scope of policy HR-LV-004?,"HR-LV-004 outlines time-off entitlements, paid time off accrual schedules, sick leave, statutory holidays, and leave request procedures.",Annual Leave & PTO Policy.docx,HR-LV-004,True,Exact policy ID query for PTO scope.
Q15,multi_document,What security measures and approval steps are required when working remotely?,Requires manager/HR approval for probation (HR-RW-017) and mandatory VPN with Multi-Factor Authentication (SEC-IS-002).,"Remote Work Policy.docx, Information Security Policy.docx","HR-RW-017, SEC-IS-002",True,Multi-document query spanning remote work rules and security requirements.
Q16,multi_document,What advance notice is required for taking annual leave versus booking business travel?,Leave >3 days requires 14 days notice (HR-LV-004); domestic economy travel requires booking 14 days in advance (FIN-EXP-011).,"Annual Leave & PTO Policy.docx, Expense Reimbursement Policy.docx","HR-LV-004, FIN-EXP-011",True,Multi-document comparison query across leave and expense policies.
Q17,multi_document,How do flexible working hours interact with MFA security during remote work?,Employees can adjust working hours between 7 AM and 6 PM but must remain reachable during core hours (HR-AT-009) and use MFA (SEC-IS-002).,"Attendance & Flexible Work Hours Policy.docx, Information Security Policy.docx","HR-AT-009, SEC-IS-002",True,Multi-document query across attendance and security policies.
Q18,multi_document,What benefits and remote work equipment options are available for new employees?,Standard laptop and peripherals are provided (HR-RW-017); health coverage begins 1st of following month and $500 wellness stipend is available (HR-BEN-006).,"Remote Work Policy.docx, Employee Benefits & Wellness Policy.docx","HR-RW-017, HR-BEN-006",True,Multi-document query across equipment and benefits policies.
Q19,unsupported,Does the company provide employees with free company cars?,Clause must refuse because company car policy is not in corpus (explicitly stated company does not provide company cars).,None,None,False,Unsupported question testing car refusal.
Q20,unsupported,What is the corporate pet policy for bring-your-dog to work days?,Clause must refuse because pet policy is not in corpus.,None,None,False,Unsupported question regarding pet policy.
Q21,unsupported,What is the company policy for tuition reimbursement for university master's degrees?,Clause must refuse because tuition reimbursement is not in corpus.,None,None,False,Unsupported question regarding tuition reimbursement.
Q22,unsupported,Does the company reimburse employee stock option trading losses?,Clause must refuse because stock trading loss reimbursement is not in corpus.,None,None,False,Unsupported question regarding stock loss reimbursement.
Q23,unsupported,What are the company guidelines for sabbatical leaves exceeding 2 years?,Clause must refuse because 2-year sabbatical policy is not in corpus.,None,None,False,Unsupported question regarding long sabbaticals.
Q24,unsupported,What is the company policy regarding enterprise relocation bonuses to Tokyo?,Clause must refuse because relocation bonus policy is not in corpus.,None,None,False,Unsupported question regarding international relocation bonus.
